HS 1996 Product Code,HS 1996 Product Description,MTN Categories Product Code,MTN Categories Product Description
481031,"Kraft paper and paperboard...:-- Bleached uniformly throughout the mass and of which more than 95% by weight of the total fibre content consists of wood fibres obtained by a chemical process, and weighing 150 g/m2 or less",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481032,"Kraft paper and paperboard...:-- Bleached uniformly throughout the mass and of which more than 95% by weight of the total fibre content consists of wood fibres obtained by a chemical process, and weighing 150 g/m2",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481039,"Kraft paper and paperboard, other than that of a kind used for writing, printing or other graphic purposes :-- Other",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481091,Other paper and paperboard :-- Multi-ply,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481099,Other paper and paperboard :-- Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481110,"Tarred, bituminised or asphalted paper and paperboard",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481121,Gummed or adhesive paper and paperboard :-- Self-adhesive,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481129,Gummed or adhesive paper and paperboard :-- Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481131,"Paper and paperboard coated, impregnated or covered with plastics (excluding adhesives) :-- Bleached, weighing more than 150 g/m2",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481139,"Paper and paperboard coated, impregnated or covered with plastics (excluding adhesives) :-- Other",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481140,"Paper and paperboard, coated, impregnated or covered with wax, paraffin wax, stearin, oil or glycerol",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481190,"Other paper, paperboard, cellulose wadding and webs of cellulose fibres",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481200,"Filter blocks, slabs and plates, of paper pulp.",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441400,"Wooden frames for paintings, photographs, mirrors or similar objects.",0103,"Wood, pulp, paper & furniture, finished manufactur"
441510,"Cases, boxes, crates, drums and similar packings; cable-drums",0103,"Wood, pulp, paper & furniture, finished manufactur"
441520,"Pallets, box pallets and other load boards; pallet collars",0103,"Wood, pulp, paper & furniture, finished manufactur"
441600,"Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves.",0103,"Wood, pulp, paper & furniture, finished manufactur"
441700,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe lasts and trees, of wood.",0103,"Wood, pulp, paper & furniture, finished manufactur"
441810,"Windows, French-windows and their frames",0103,"Wood, pulp, paper & furniture, finished manufactur"
441820,Doors and their frames and thresholds,0103,"Wood, pulp, paper & furniture, finished manufactur"
441830,Parquet panels,0103,"Wood, pulp, paper & furniture, finished manufactur"
441840,Shuttering for concrete constructional work,0103,"Wood, pulp, paper & furniture, finished manufactur"
441850,Shingles and shakes,0103,"Wood, pulp, paper & furniture, finished manufactur"
441890,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
441900,"Tableware and kitchenware, of wood.",0103,"Wood, pulp, paper & furniture, finished manufactur"
442010,"Statuettes and other ornaments, of wood",0103,"Wood, pulp, paper & furniture, finished manufactur"
442090,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
442110,Clothes hangers,0103,"Wood, pulp, paper & furniture, finished manufactur"
442190,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
450310,Corks and stoppers,0103,"Wood, pulp, paper & furniture, finished manufactur"
450390,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
450410,"Blocks, plates, sheets and strip; tiles of any shape; solid cylinders, including discs",0103,"Wood, pulp, paper & furniture, finished manufactur"
450490,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
481310,In the form of booklets or tubes,0103,"Wood, pulp, paper & furniture, finished manufactur"
481320,In rolls of a width not exceeding 5 cm,0103,"Wood, pulp, paper & furniture, finished manufactur"
481390,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
481410,Ingrain paper,0103,"Wood, pulp, paper & furniture, finished manufactur"
481420,"Wallpaper and similar wall coverings, consisting of paper coated or covered, on the face side, with a grained, embossed, coloured, design-printed or otherwise decorated layer of plastics",0103,"Wood, pulp, paper & furniture, finished manufactur"
481430,"Wallpaper and similar wall coverings, consisting of paper covered, on the face side, with plaiting material, whether or not bound together in parallel strands or woven",0103,"Wood, pulp, paper & furniture, finished manufactur"
481490,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
481610,Carbon or similar copying papers,0103,"Wood, pulp, paper & furniture, finished manufactur"
481620,Self-copy paper,0103,"Wood, pulp, paper & furniture, finished manufactur"
481630,Duplicator stencils,0103,"Wood, pulp, paper & furniture, finished manufactur"
481690,Other,0103,"Wood, pulp, paper & furniture, finished manufactur"
481710,Envelopes,0103,"Wood, pulp, paper & furniture, finished manufactur"
481720,"Letter cards, plain postcards and correspondence cards",0103,"Wood, pulp, paper & furniture, finished manufactur"
481730,"Boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment of paper stationery",0103,"Wood, pulp, paper & furniture, finished manufactur"
481810,Toilet paper,0103,"Wood, pulp, paper & furniture, finished manufactur"
481820,"Handkerchiefs, cleansing or facial tissues and towels",0103,"Wood, pulp, paper & furniture, finished manufactur"
481830,Tablecloths and serviettes,0103,"Wood, pulp, paper & furniture, finished manufactur"
