HS 1988/92 Product Code,HS 1988/92 Product Description,BEC Product Code,BEC Product Description
280410,Hydrogen,22,Processed
280421,Argon,22,Processed
280429,Rare gases (excl. argon),22,Processed
280430,Nitrogen,22,Processed
280440,Oxygen,22,Processed
280450,Boron; tellurium,22,Processed
280461,Silicon containing by weight >=99.99% silicon,22,Processed
280469,Silicon containing by weight <99.99% silicon,22,Processed
280470,Phosphorus,22,Processed
280480,Arsenic,22,Processed
280490,Selenium,22,Processed
280511,Sodium,22,Processed
280519,Alkali metals (excl. sodium),22,Processed
280521,Calcium,22,Processed
280522,Strontium and barium,22,Processed
280530,"Rare-earth metals, scandium and yttrium",22,Processed
280540,Mercury,22,Processed
280610,Hydrogen chloride (hydrochloric acid),22,Processed
280620,Chlorosulphuric acid,22,Processed
280700,Sulphuric acid; oleum,22,Processed
280800,Nitric acid; sulphonitric acids,22,Processed
280910,Diphosphorus pentaoxide,22,Processed
280920,Phosphoric acid and polyphosphoric acids,22,Processed
281000,Oxides of boron; boric acids,22,Processed
281111,Hydrogen fluoride (hydrofluoric acid),22,Processed
281119,"Other inorganic acids, nes",22,Processed
281121,Carbon dioxide,22,Processed
281122,Silicon dioxide,22,Processed
281123,Sulphur dioxide,22,Processed
281129,"Other inorganic oxygen compounds of non-metals,",22,Processed
281210,Chlorides and chlorides oxides of non-metals,22,Processed
281290,"Halides and halide oxides of non-metals, nes",22,Processed
281310,Carbon disulphide,22,Processed
281390,Sulphides of non-metals (excl. carbon)commercia,22,Processed
281410,Anhydrous ammonia,22,Processed
281420,Ammonia in aqueous solution,22,Processed
281511,"Sodium hydroxide (caustic soda), solid",22,Processed
281512,Sodium hydroxide in aqueous solution (soda lye,22,Processed
281520,Potassium hydroxide (caustic potash),22,Processed
281530,Peroxides of sodium or potassium,22,Processed
281610,Hydroxide and peroxide of magnesium,22,Processed
281620,"Oxide, hydroxide and peroxide of strontium",22,Processed
281630,"Oxide, hydroxide and peroxide of barium",22,Processed
281700,Zinc oxide; zinc peroxide,22,Processed
281810,"Artificial corundum, whether or not chemically",22,Processed
281820,"Aluminium oxide, other than artificial corundum",22,Processed
281830,Aluminium hydroxide,22,Processed
281910,Chromium trioxide,22,Processed
281990,Chromium oxides and hydroxides (excl. chromium,22,Processed
282010,Manganese dioxide,22,Processed
282090,Manganese oxides (excl. manganese dioxide),22,Processed
282110,Iron oxides and hydroxides,22,Processed
282120,Earth colours containing >=70% iron(III)oxide,22,Processed
282200,Cobalt oxides and hydroxides; commercial cobalt,22,Processed
282300,Titanium oxides,22,Processed
282410,"Lead monoxide (litharge, massicot)",22,Processed
282420,Red lead and orange lead,22,Processed
282490,"Lead oxides, nes",22,Processed
282510,Hydrazine and hydroxylamine and their inorganic,22,Processed
282520,Lithium oxide and hydroxide,22,Processed
282530,Vanadium oxides and hydroxides,22,Processed
282540,Nickel oxides and hydroxides,22,Processed
282550,Copper oxides and hydroxides,22,Processed
282560,Germanium oxides and zirconium dioxides,22,Processed
282570,Molybdenum oxides and hydroxides,22,Processed
282580,Antimony oxides,22,Processed
282590,"Other inorganic bases; other metal oxides, hydr",22,Processed
282611,Fluorides of ammonium or of sodium,22,Processed
282612,Fluorides of aluminium,22,Processed
282619,"Fluorides, nes",22,Processed
282620,Fluorosilicates of sodium or of potassium,22,Processed
282630,Sodium hexafloroaluminate (synthetic cryolite),22,Processed
282690,Fluoroaluminates and other complex fluorine sal,22,Processed
282710,Ammonium chloride,22,Processed
282720,Calcium chloride,22,Processed
282731,Magnesium chloride,22,Processed
