HS 1996 Product Code,HS 1996 Product Description,BEC Product Code,BEC Product Description
220720,"Ethyl alcohol and other spirits, denatured, of any strength",22,Processed
230110,"Flours, meals and pellets, of meat or meat offal; greaves",22,Processed
230120,"Flours, meals and pellets, of fish or of crustaceans, molluscs or other aquatic invertebrates",22,Processed
230400,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil.",22,Processed
230500,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil.",22,Processed
230610,Of cotton seeds,22,Processed
230620,Of linseed,22,Processed
230630,Of sunflower seeds,22,Processed
230640,Of rape or colza seeds,22,Processed
230650,Of coconut or copra,22,Processed
230660,Of palm nuts or kernels,22,Processed
230670,Of maize (corn) germ,22,Processed
230690,Other,22,Processed
230910,"Dog or cat food, put up for retail sale",22,Processed
230990,Other,22,Processed
252020,Plasters,22,Processed
252210,Quicklime,22,Processed
252220,Slaked lime,22,Processed
252230,Hydraulic lime,22,Processed
252310,Cement clinkers,22,Processed
252321,"Portland cement :-- White cement, whether or not artificially coloured",22,Processed
252329,Portland cement :-- Other,22,Processed
252330,Aluminous cement,22,Processed
252390,Other hydraulic cements,22,Processed
270600,"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars.",22,Processed
270710,Benzole,22,Processed
270720,Toluole,22,Processed
270730,Xylole,22,Processed
270740,Naphthalene,22,Processed
270750,Other aromatic hydrocarbon mixtures of which 65 % or more by volume (including losses) distils at 250 (C by the ASTM D 86 method,22,Processed
270760,Phenols,22,Processed
270791,Other :-- Creosote oils,22,Processed
270799,Other,22,Processed
270810,Pitch,22,Processed
270820,Pitch coke,22,Processed
271210,Petroleum jelly,22,Processed
271220,Paraffin wax containing by weight less than 0.75 % of oil,22,Processed
271290,Other,22,Processed
271311,Petroleum coke :-- Not calcined,22,Processed
271312,Petroleum coke :-- Calcined,22,Processed
271320,Petroleum bitumen,22,Processed
271390,Other residues of petroleum oils or of oils obtained from bituminous minerals,22,Processed
271500,"Bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch (for example, bituminous mastics, cut-backs).",22,Processed
280110,Chlorine,22,Processed
280120,Iodine,22,Processed
280130,Fluorine; bromine,22,Processed
280200,"Sulphur, sublimed or precipitated; colloidal sulphur.",22,Processed
280300,Carbon (carbon blacks and other forms of carbon not elsewhere specified or included).,22,Processed
280410,Hydrogen,22,Processed
280421,Rare gases :-- Argon,22,Processed
280429,Rare gases :-- Other,22,Processed
280430,Nitrogen,22,Processed
280440,Oxygen,22,Processed
280450,Boron; tellurium,22,Processed
280461,Silicon :-- Containing by weight not less than 99.99 % of silicon,22,Processed
280469,Silicon :-- Other,22,Processed
280470,Phosphorus,22,Processed
280480,Arsenic,22,Processed
280490,Selenium,22,Processed
280511,Alkali metals :-- Sodium,22,Processed
280519,Alkali metals :-- Other,22,Processed
280521,Alkaline-earth metals :-- Calcium,22,Processed
280522,Alkaline-earth metals :-- Strontium and barium,22,Processed
280530,"Rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed",22,Processed
280540,Mercury,22,Processed
280610,Hydrogen chloride (hydrochloric acid),22,Processed
280620,Chlorosulphuric acid,22,Processed
280700,Sulphuric acid; oleum.,22,Processed
280800,Nitric acid; sulphonitric acids.,22,Processed
280910,Diphosphorus pentaoxide,22,Processed
280920,Phosphoric acid and polyphosphoric acids,22,Processed
281000,Oxides of boron; boric acids.,22,Processed
281111,Other inorganic acids :-- Hydrogen fluoride (hydrofluoric acid),22,Processed
281119,Other inorganic acids :-- Other,22,Processed
281121,Other inorganic oxygen compounds of non-metals : -- Carbon dioxide,22,Processed
281122,Other inorganic oxygen compounds of non-metals : -- Silicon dioxide,22,Processed
281123,Other inorganic oxygen compounds of non-metals : -- Sulphur dioxide,22,Processed
281129,Other inorganic oxygen compounds of non-metals : -- Other,22,Processed
281210,Chlorides and chlorid,22,Processed
281290,Other,22,Processed
281310,Carbon disulphide,22,Processed
281390,Other,22,Processed
281410,Anhydrous ammonia,22,Processed
281420,Ammonia in aqueous solution,22,Processed
281511,Sodium hydroxide (caustic soda):-- Solid,22,Processed
281512,Sodium hydroxide (caustic soda):-- In aqueous solution (soda lye or liquid soda),22,Processed
281520,Potassium hydroxide (caustic potash),22,Processed
281530,Peroxides of sodium or potassium,22,Processed
281610,Hydroxide and peroxide of magnesium,22,Processed
