HS - Combined  Product Code,HS - Combined  Product Description,BEC Product Code,BEC Product Description
441191,(-2006) Not mechanically worked or surface covered,21,Primary
441199,(-2006) Other,21,Primary
450110,"Natural cork, raw or simply prepared",21,Primary
450190,Other,21,Primary
450200,"Natural cork, debacked or roughly squared, or in rectangular (including square) blocks, plates, sheets or strip (including sharpedged blanks for corks or stoppers).",21,Primary
470710,Unbleached kraft paper or paperboard or corrugated paper or paperboard,21,Primary
470720,"Other paper or paperboard made mainly of bleached chemical pulp, not coloured in the mass",21,Primary
470730,"Paper or paperboard made mainly of mechanical pulp (for example, newspapers, journals and similar printed matter)",21,Primary
470790,"Other, including unsorted waste and scrap",21,Primary
500100,Silkworm cocoons suitable for reeling.,21,Primary
500310,(-2006) Not carded or combed,21,Primary
500390,(-2006) Other,21,Primary
510111,Shorn wool,21,Primary
510119,Other,21,Primary
510121,Shorn wool,21,Primary
510129,Other,21,Primary
510130,Carbonised,21,Primary
510210,(-2001) Fine animal hair,21,Primary
510211,(2002-) Of Kashmir (cashmere) goats,21,Primary
510219,(2002-) Other,21,Primary
510220,Coarse animal hair,21,Primary
510310,Noils of wool or of fine animal hair,21,Primary
510320,Other waste of wool or of fine animal hair,21,Primary
510330,Waste of coarse animal hair,21,Primary
510400,Garnetted stock of wool or of fine or coarse animal hair.,21,Primary
520100,"Cotton, not carded or combed.",21,Primary
520210,Yarn waste (including thread waste),21,Primary
520291,Garnetted stock,21,Primary
520299,Other,21,Primary
530110,"Flax, raw or retted",21,Primary
530130,Flax tow and waste,21,Primary
530210,"True hemp, raw or retted",21,Primary
530290,Other,21,Primary
530310,"Jute and other textile bast fibres, raw or retted",21,Primary
530390,Other,21,Primary
530410,"(-2006) Sisal and other textile fibres of the genus Agave, raw",21,Primary
530490,(-2006) Other,21,Primary
530511,(-2006) Raw,21,Primary
530519,(-2006) Other,21,Primary
530521,(-2006) Raw,21,Primary
530529,(-2006) Other,21,Primary
530590,(2002-2006) Other,21,Primary
530591,(-2001) Other :-- Raw,21,Primary
530599,(-2001) Other,21,Primary
550510,Of synthetic fibres,21,Primary
550520,Of artificial fibres,21,Primary
630900,Worn clothing and other worn articles.,21,Primary
631010,Sorted,21,Primary
631090,Other,21,Primary
710110,Natural pearls,21,Primary
710121,Unworked,21,Primary
710122,Worked,21,Primary
710210,Unsorted,21,Primary
710221,"Unworked or simply sawn, cleaved or bruted",21,Primary
710229,Other,21,Primary
710231,"Unworked or simply sawn, cleaved or bruted",21,Primary
710310,Unworked or simply sawn or roughly shaped,21,Primary
710510,Of diamonds,21,Primary
710590,Other,21,Primary
711210,"(-2001) Of gold, including metal clad with gold but exclud",21,Primary
711220,"(-2001) Of platinum, including metal clad with platinum bu",21,Primary
711230,(2002-) Ash containing precious metal or precious metal compounds,21,Primary
711290,(-2001) Other,21,Primary
711291,"(2002-) Of gold, including metal clad with gold but excluding sweepings containing other precious metals",21,Primary
711292,"(2002-) Of platinum, including metal clad with platinum but excluding sweepings containing other precious metals",21,Primary
711299,(2002-) Other,21,Primary
720410,Waste and scrap of cast iron,21,Primary
720421,Of stainless steel,21,Primary
720429,Other,21,Primary
720430,Waste and scrap of tinned iron or steel,21,Primary
720441,"Turnings, shavings, chips, milling waste, sawdust, filings, trimmings and stampings, whether or not in bundles",21,Primary
720449,Other,21,Primary
720450,Remelting scrap ingots,21,Primary
740400,Copper waste and scrap.,21,Primary
750300,Nickel waste and scrap.,21,Primary
760200,Aluminium waste and scrap.,21,Primary
780200,Lead waste and scrap.,21,Primary
790200,Zinc waste and scrap.,21,Primary
800200,Tin waste and scrap.,21,Primary
810420,Waste and scrap,21,Primary
890800,Vessels and other floating structures for breaking up.,21,Primary
110811,Wheat starch,22,Processed
110812,Maize (corn) starch,22,Processed
110813,Potato starch,22,Processed
