HS 1988/92 Product Code,HS 1988/92 Product Description,MTN Categories Product Code,MTN Categories Product Description
441830,"Parquet panels, of wood",0103,"Wood, pulp, paper & furniture, finished manufactur"
441840,"Shuttering for concrete constructional work, of",0103,"Wood, pulp, paper & furniture, finished manufactur"
441850,"Shingles and shakes, of wood",0103,"Wood, pulp, paper & furniture, finished manufactur"
441890,"Builders' joinery and carpentry, of wood, nes",0103,"Wood, pulp, paper & furniture, finished manufactur"
441900,"Tableware and kitchenware, of wood",0103,"Wood, pulp, paper & furniture, finished manufactur"
442010,"Statuettes and other ornaments, of wood",0103,"Wood, pulp, paper & furniture, finished manufactur"
442090,"Wood marquetry, inlaid wood; caskets... of wood",0103,"Wood, pulp, paper & furniture, finished manufactur"
442110,Clothes hangers of wood,0103,"Wood, pulp, paper & furniture, finished manufactur"
442190,"Articles of wood, nes",0103,"Wood, pulp, paper & furniture, finished manufactur"
450310,Corks and stoppers of natural cork,0103,"Wood, pulp, paper & furniture, finished manufactur"
450390,"Articles of natural cork, nes",0103,"Wood, pulp, paper & furniture, finished manufactur"
450410,"Blocks..., tiles of any shape, solid cylinders,",0103,"Wood, pulp, paper & furniture, finished manufactur"
450490,Agglomerated cork; articles of agglomerated cor,0103,"Wood, pulp, paper & furniture, finished manufactur"
481310,Cigarette paper in the form of booklets or tube,0103,"Wood, pulp, paper & furniture, finished manufactur"
481320,Cigarette paper in rolls of a width =<5cm,0103,"Wood, pulp, paper & furniture, finished manufactur"
481390,"Cigarette paper, nes",0103,"Wood, pulp, paper & furniture, finished manufactur"
481410,Ingrain paper,0103,"Wood, pulp, paper & furniture, finished manufactur"
481420,"Wallpaper, etc, of paper coated with a... layer",0103,"Wood, pulp, paper & furniture, finished manufactur"
481430,"Wallpaper, etc, consisting of paper covered wit",0103,"Wood, pulp, paper & furniture, finished manufactur"
481490,Wallpaper and other wall coverings; window tran,0103,"Wood, pulp, paper & furniture, finished manufactur"
481610,Carbon or similar copying papers,0103,"Wood, pulp, paper & furniture, finished manufactur"
481620,Self-copy paper,0103,"Wood, pulp, paper & furniture, finished manufactur"
481630,Duplicator stencils of paper,0103,"Wood, pulp, paper & furniture, finished manufactur"
481690,"Copying or transfer paper, nes; offset plates,",0103,"Wood, pulp, paper & furniture, finished manufactur"
481710,Envelopes of paper or paperboard,0103,"Wood, pulp, paper & furniture, finished manufactur"
481720,"Letter cards, plain postcards and correspondanc",0103,"Wood, pulp, paper & furniture, finished manufactur"
481730,"Boxes, etc, of paper or paperboard containing p",0103,"Wood, pulp, paper & furniture, finished manufactur"
481810,Toilet paper,0103,"Wood, pulp, paper & furniture, finished manufactur"
481820,Handkerchiefs and cleansing or facial tissues o,0103,"Wood, pulp, paper & furniture, finished manufactur"
481830,Tablecloths and serviettes of paper,0103,"Wood, pulp, paper & furniture, finished manufactur"
481840,"Sanitary towels and tampons, napkins and napkin",0103,"Wood, pulp, paper & furniture, finished manufactur"
481850,"Articles of apparel and clothing of paper, cell",0103,"Wood, pulp, paper & furniture, finished manufactur"
481890,"Household, sanitary or hospital articles of pap",0103,"Wood, pulp, paper & furniture, finished manufactur"
481910,"Cartons, boxes and cases, of corrugated paper o",0103,"Wood, pulp, paper & furniture, finished manufactur"
481920,"Folding cartons, boxes and cases, of non-corrug",0103,"Wood, pulp, paper & furniture, finished manufactur"
481930,"Sacks and bags, having a base of a width of >=4",0103,"Wood, pulp, paper & furniture, finished manufactur"
481940,"Sacks and bags, including cones of paper, paper",0103,"Wood, pulp, paper & furniture, finished manufactur"
481950,"Packing containers, including record sleeves, o",0103,"Wood, pulp, paper & furniture, finished manufactur"
481960,"Box files, letter trays, storage boxes, etc, of",0103,"Wood, pulp, paper & furniture, finished manufactur"
482010,"Registers, account books, order and receipt boo",0103,"Wood, pulp, paper & furniture, finished manufactur"
482020,Exercise-books,0103,"Wood, pulp, paper & furniture, finished manufactur"
482030,"Binders (other than book covers), folders and f",0103,"Wood, pulp, paper & furniture, finished manufactur"
482040,Manifold business forms and interleaved carbon,0103,"Wood, pulp, paper & furniture, finished manufactur"
482050,Albums for stamps or for collections of paper o,0103,"Wood, pulp, paper & furniture, finished manufactur"
482090,"Blotting pads, book covers and other articles o",0103,"Wood, pulp, paper & furniture, finished manufactur"
482110,Printed paper or paperboard labels of all kinds,0103,"Wood, pulp, paper & furniture, finished manufactur"
482190,Paper or paperboard labels of all kinds (excl.,0103,"Wood, pulp, paper & furniture, finished manufactur"
482210,"Bobbins, spools..., of paper or paperboard for",0103,"Wood, pulp, paper & furniture, finished manufactur"
482290,"Bobbins, spools, cops and similar supports of p",0103,"Wood, pulp, paper & furniture, finished manufactur"
482311,"Self-adhesive paper, in strips or rolls",0103,"Wood, pulp, paper & furniture, finished manufactur"
482319,"Gummed or adhesive paper (excl. self-adhesive),",0103,"Wood, pulp, paper & furniture, finished manufactur"
482320,"Filter paper and paperboard, cut to shape",0103,"Wood, pulp, paper & furniture, finished manufactur"
482330,"Cards, not punched, for punch card machines",0103,"Wood, pulp, paper & furniture, finished manufactur"
482340,"Rolls, sheets and dials, printed for self-recor",0103,"Wood, pulp, paper & furniture, finished manufactur"
482351,"Printed, embossed or perforated paper or paperb",0103,"Wood, pulp, paper & furniture, finished manufactur"
482359,"Paper and paperboard writing, printing, etc, cu",0103,"Wood, pulp, paper & furniture, finished manufactur"
482360,"Trays, dishes, plates and cups, etc, of paper o",0103,"Wood, pulp, paper & furniture, finished manufactur"
482370,Moulded or pressed articles of paper pulp,0103,"Wood, pulp, paper & furniture, finished manufactur"
482390,"Paper and paperboard, cut to size and articles",0103,"Wood, pulp, paper & furniture, finished manufactur"
490110,"Printed books, brochures, leaflets, etc, in sin",0103,"Wood, pulp, paper & furniture, finished manufactur"
490191,"Dictionaries and encyclopaedias, and serial ins",0103,"Wood, pulp, paper & furniture, finished manufactur"
490199,"Printed books, brochures, leaflets and similar",0103,"Wood, pulp, paper & furniture, finished manufactur"
490210,"Newspapers, journals and periodicals, appearing",0103,"Wood, pulp, paper & furniture, finished manufactur"
490290,"Newspapers, journals and periodicals, appearing",0103,"Wood, pulp, paper & furniture, finished manufactur"
490300,"Children's picture, drawing or colouring books",0103,"Wood, pulp, paper & furniture, finished manufactur"
490400,"Music, printed or in manuscript",0103,"Wood, pulp, paper & furniture, finished manufactur"
490510,Globes,0103,"Wood, pulp, paper & furniture, finished manufactur"
490591,"Maps and hydrographic or similar charts, in boo",0103,"Wood, pulp, paper & furniture, finished manufactur"
490599,"Maps and hydrographic or similar charts, printe",0103,"Wood, pulp, paper & furniture, finished manufactur"
490600,Plans... for architectural... purposes; handwit,0103,"Wood, pulp, paper & furniture, finished manufactur"
490700,New stamps; stamp-impressed paper; banknotes; c,0103,"Wood, pulp, paper & furniture, finished manufactur"
490810,"Transfers (decalcomanias), vitrifiable",0103,"Wood, pulp, paper & furniture, finished manufactur"
490890,Transfers (decalcomanias) (excl. vitrifiable),0103,"Wood, pulp, paper & furniture, finished manufactur"
490900,Printed or illustrated postcards; printed cards,0103,"Wood, pulp, paper & furniture, finished manufactur"
491000,"Calendars of any kind, printed, including calen",0103,"Wood, pulp, paper & furniture, finished manufactur"
491110,"Trade advertising material, commercial catalogu",0103,"Wood, pulp, paper & furniture, finished manufactur"
491191,"Pictures, designs and photographs",0103,"Wood, pulp, paper & furniture, finished manufactur"
491199,"Other printed matter, nes",0103,"Wood, pulp, paper & furniture, finished manufactur"
940110,"Seats, aircraft",0103,"Wood, pulp, paper & furniture, finished manufactur"
940120,"Seats, motor vehicles",0103,"Wood, pulp, paper & furniture, finished manufactur"
940130,Swivel seats and variable height adjustment oth,0103,"Wood, pulp, paper & furniture, finished manufactur"
940140,Seats excluding garden seats or camping equipme,0103,"Wood, pulp, paper & furniture, finished manufactur"
940150,"Seats of cane, osier, bamboo or similar materia",0103,"Wood, pulp, paper & furniture, finished manufactur"
940161,"Seats with wooden frames,upholstered nes",0103,"Wood, pulp, paper & furniture, finished manufactur"
940169,"Seats with wooden frames, nes",0103,"Wood, pulp, paper & furniture, finished manufactur"
940171,"Seats with mtl frames,upholstered nes,oth than",0103,"Wood, pulp, paper & furniture, finished manufactur"
940179,"Seats with metal frames, nes, other than those",0103,"Wood, pulp, paper & furniture, finished manufactur"
940180,"Seats nes, other than those of heading No 94.02",0103,"Wood, pulp, paper & furniture, finished manufactur"
940190,Parts of seats other than those of heading No 9,0103,"Wood, pulp, paper & furniture, finished manufactur"
940210,"Dentists', barbers' or similar chairs and parts",0103,"Wood, pulp, paper & furniture, finished manufactur"
940290,"Medical, surgical, dental or veterinary furnitu",0103,"Wood, pulp, paper & furniture, finished manufactur"
940310,"Office furniture, metal, nes",0103,"Wood, pulp, paper & furniture, finished manufactur"
940320,"Furniture, metal, nes",0103,"Wood, pulp, paper & furniture, finished manufactur"
940330,"Office furniture, wooden, nes",0103,"Wood, pulp, paper & furniture, finished manufactur"
940340,"Kitchen furniture, wooden, nes",0103,"Wood, pulp, paper & furniture, finished manufactur"
940350,"Bedroom furniture, wooden, nes",0103,"Wood, pulp, paper & furniture, finished manufactur"
940360,"Furniture, wooden, nes",0103,"Wood, pulp, paper & furniture, finished manufactur"
