HS 2007 Product Code,HS 2007 Product Description,HS 1988/92 Product Code,HS 1988/92 Product Description
261790,Ores & concentrates (excl. of 2601.11-2617.10),261790,"Other ores and concentrates, nes"
261800,Granulated slag (slag sand) from the manufacture of iron/steel,261800,Granulated slag (slag sand) from the manufactur
261900,"Slag, dross (excl. granulated slag), scalings & other waste from the manufacture of iron/steel",261900,"Slag, dross, etc, from the manufacture of iron"
262011,"Ash & residues (excl. from the manufacture of iron/steel), containing hard zinc spelter",262011,Hard zinc spelter
262019,"Ash & residues (excl. from the manufacture of iron/steel), containing zinc other than hard zinc spelter",262019,Ash and residues containing mainly zinc (excl.
262021,Leaded gasoline sludges & leaded anti-knock compound sludges,262020,Ash and residues containing mainly lead
262029,Ash & residues (excl. from the manufacture of iron/steel) containing lead (excl. of 2620.21),262020,Ash and residues containing mainly lead
262030,Ash & residues (excl. from the manufacture of iron/steel) containing mainly copper,262030,Ash and residues containing mainly copper
262040,Ash & residues (excl. from the manufacture of iron/steel) containing mainly aluminium,262040,Ash and residues containing mainly aluminium
262060,"Slag,ash & residues (excl. from the manufacture of iron/steel) containing arsenic/mercury/thallium/their mixtures, of a kind used for the extraction  of arsenic/those metals /for the manufacture of their chemical compounds",262090,Ash and residues containing other metals or met
