HS 1988/92 Product Code,HS 1988/92 Product Description,GTAP Product Code,GTAP Product Description
121190,"Other plants or parts, of a kind used in perfum",08,OCR - Crops n.e.c.
121300,Cereal straw and husks,08,OCR - Crops n.e.c.
121410,Lucerne (alfalfa) meal and pellets,08,OCR - Crops n.e.c.
121490,"Other forage products, nes",08,OCR - Crops n.e.c.
140310,Broomcorn,08,OCR - Crops n.e.c.
140390,Vegetable materials primarily for brooms or bru,08,OCR - Crops n.e.c.
180100,"Cocoa beans, whole or broken, raw or roasted",08,OCR - Crops n.e.c.
230810,"Acorns and horse-chestnuts, for animal feeding",08,OCR - Crops n.e.c.
230890,"Other vegetable materials, waste, residues, etc",08,OCR - Crops n.e.c.
240110,"Tobacco, not stemmed/stripped",08,OCR - Crops n.e.c.
240120,"Tobacco, partly or wholly stemmed/stripped",08,OCR - Crops n.e.c.
240130,Tobacco refuse,08,OCR - Crops n.e.c.
010111,Live pure bred breeding horses,09,"CTL - Bovine cattle, sheep and goats, horses"
010119,"Live horses, other than for pure-bred breeding",09,"CTL - Bovine cattle, sheep and goats, horses"
010120,Live asses mules and hinnies,09,"CTL - Bovine cattle, sheep and goats, horses"
010210,Live pure-bred breeding bovine animals,09,"CTL - Bovine cattle, sheep and goats, horses"
010290,"Live bovine animals, other than pure-bred breed",09,"CTL - Bovine cattle, sheep and goats, horses"
010410,Live sheep,09,"CTL - Bovine cattle, sheep and goats, horses"
010420,Live goats,09,"CTL - Bovine cattle, sheep and goats, horses"
051110,Bovine semen,09,"CTL - Bovine cattle, sheep and goats, horses"
010310,Live pure-bred breeding swine,10,OAP - Animal products n.e.c.
010391,Live swine weighing <50kg (excl. pure-bred bree,10,OAP - Animal products n.e.c.
010392,Live swine weighing >=50kg (excl. pure-bred bre,10,OAP - Animal products n.e.c.
010511,"Live fowls of species Gallus domesticus, weighi",10,OAP - Animal products n.e.c.
010519,"Live ducks, geese, turkeys and guinea fowls, we",10,OAP - Animal products n.e.c.
010591,Live fowls of species Gallus domesticus (chicke,10,OAP - Animal products n.e.c.
010599,"Live ducks, geese, turkeys and guinea fowls, we",10,OAP - Animal products n.e.c.
010600,"Other live animals, nes",10,OAP - Animal products n.e.c.
020820,"Fresh, chilled or frozen frogs' legs",10,OAP - Animal products n.e.c.
030760,Snails other than sea snails,10,OAP - Animal products n.e.c.
040700,"Birds' eggs, in shell, fresh, preserved or cook",10,OAP - Animal products n.e.c.
040900,Natural honey,10,OAP - Animal products n.e.c.
041000,"Edible products of animal origin, nes",10,OAP - Animal products n.e.c.
050210,"Pigs', hogs', or boars' bristles or hair",10,OAP - Animal products n.e.c.
050290,Badger and other brush making hair,10,OAP - Animal products n.e.c.
050400,"Guts, bladders and stomachs of animals (excl. f",10,OAP - Animal products n.e.c.
050510,Raw feathers for stuffing; down,10,OAP - Animal products n.e.c.
050590,Skins and parts of birds (excl. feathers for st,10,OAP - Animal products n.e.c.
050610,Ossein and bones treated with acid,10,OAP - Animal products n.e.c.
050690,Bones and horn-cores (excl. ossein...),10,OAP - Animal products n.e.c.
050710,"Ivory, its powder and waste, unworked",10,OAP - Animal products n.e.c.
050790,"Tortoise-shell, whalebone and whalebone-hair, e",10,OAP - Animal products n.e.c.
051000,"Ambergris, castoreum, civet and musk; cantharid",10,OAP - Animal products n.e.c.
051199,"Animal products, nes; dead animals of Chapter 1",10,OAP - Animal products n.e.c.
152190,"Beeswax, other insect waxes and spermaceti",10,OAP - Animal products n.e.c.
410110,"Whole hides and skins of bovine animals, =<8kg",10,OAP - Animal products n.e.c.
410121,"Whole hides and skins of bovine animals, nes, f",10,OAP - Animal products n.e.c.
410122,"Butts and bends of bovine animal hide, fresh or",10,OAP - Animal products n.e.c.
410129,"Hides and skins of bovine animals, fresh or wet",10,OAP - Animal products n.e.c.
410130,Hides and skins of bovine animals preserved but,10,OAP - Animal products n.e.c.
410140,"Hides and skins of equine animal (fresh, or sal",10,OAP - Animal products n.e.c.
410210,"Raw skins of sheep or lambs, with wool on",10,OAP - Animal products n.e.c.
410221,"Pickled skins of sheep or lambs, without wool,",10,OAP - Animal products n.e.c.
410229,"Skins of sheep or lambs, without wool, not pick",10,OAP - Animal products n.e.c.
410310,"Hides and skins of goats or kids, fresh or pres",10,OAP - Animal products n.e.c.
410320,"Hides and skins of reptiles, fresh or preserved",10,OAP - Animal products n.e.c.
410390,"Other hides and skins, fresh or preserved, not",10,OAP - Animal products n.e.c.
430110,"Raw furskins of mink, whole",10,OAP - Animal products n.e.c.
430120,"Raw furskins of rabbit or hare, whole",10,OAP - Animal products n.e.c.
430130,"Raw furskins of specified types of lamb, whole",10,OAP - Animal products n.e.c.
430140,"Raw furskins of beaver, whole",10,OAP - Animal products n.e.c.
430150,"Raw furskins of muskrat, whole",10,OAP - Animal products n.e.c.
430160,"Raw furskins of fox, whole",10,OAP - Animal products n.e.c.
430170,"Raw furskins of seal, whole",10,OAP - Animal products n.e.c.
430180,"Raw furskins, nes",10,OAP - Animal products n.e.c.
430190,"Heads, tails, paws and other pieces of raw furs",10,OAP - Animal products n.e.c.
050300,Horsehair and waste,12,"WOL - Wool, silk-worm cocoons"
500100,Silk-worm cocoons suitable for reeling,12,"WOL - Wool, silk-worm cocoons"
510111,"Greasy shorn wool, not carded or combed",12,"WOL - Wool, silk-worm cocoons"
510119,"Greasy wool (excl. shorn), not carded or combed",12,"WOL - Wool, silk-worm cocoons"
510210,"Fine animal hair, not carded or combed",12,"WOL - Wool, silk-worm cocoons"
510220,"Coarse animal hair, not carded or combed",12,"WOL - Wool, silk-worm cocoons"
